sample_id,phonogram
DR1_DAW0_SA2,"[[13.5224     13.574061   13.671352   ... 11.97483    11.5824795
  11.582482  ]
 [-2.279139   -2.300539   -2.3675244  ... -1.5773345  -1.0469718
  -1.0469822 ]
 [-1.0839366  -1.0850205  -1.0882621  ... -1.3401911  -0.80262566
  -0.8026465 ]
 ...
 [ 0.46817666  0.39186057  0.32198352 ... -0.07087922 -1.2487209
  -1.2487404 ]
 [-1.2042295  -1.1360875  -0.9576723  ... -0.26918808 -2.0040274
  -2.003994  ]
 [-5.5695086  -5.564397   -5.5887203  ... -5.6542344  -4.9810457
  -4.981061  ]]"
DR1_DAW0_SI1271,"[[ 9.357791    9.370057    9.4851     ...  8.872902    9.354299
   9.354549  ]
 [-1.8775008  -1.8815675  -1.9315331  ... -3.3295746  -1.8768094
  -1.8769579 ]
 [ 0.20354712  0.2040006   0.21458669 ... -1.779159    0.20303094
   0.20312652]
 ...
 [-2.9288282  -2.920951   -2.8373513  ... -1.3196347  -2.9311233
  -2.9309132 ]
 [-1.4574225  -1.4618168  -1.5042658  ...  1.0392735  -1.4558839
  -1.4561076 ]
 [-3.2601743  -3.267842   -3.324858   ... -4.8924184  -3.2581835
  -3.2580547 ]]"
DR1_DAW0_SI1406,"[[ 9.893246    9.8941345   9.894701   ...  9.882843    9.954641
   9.883005  ]
 [-1.2667189  -1.2670107  -1.2672626  ... -1.2637126  -1.2833222
  -1.2637396 ]
 [-0.09466043 -0.09436622 -0.09449369 ... -0.09766659 -0.09472212
  -0.09721565]
 ...
 [-2.1983838  -2.1983988  -2.1984458  ... -2.202621   -2.1269226
  -2.2020183 ]
 [-1.7601789  -1.7602745  -1.7605898  ... -1.7601306  -1.7447039
  -1.7601882 ]
 [-4.0717845  -4.0719943  -4.072082   ... -4.0671988  -4.097128
  -4.066935  ]]"
DR1_DAW0_SI2036,"[[12.994167   11.716776   11.715748   ... 11.715626   11.715579
  11.715567  ]
 [-2.958978   -1.880702   -1.880439   ... -1.8803779  -1.8803277
  -1.8803184 ]
 [-0.2404499   0.13573354  0.13494116 ...  0.13473442  0.13468784
   0.13469054]
 ...
 [ 0.441702   -1.1746274  -1.1749086  ... -1.174885   -1.1748445
  -1.17486   ]
 [-0.791728   -1.518955   -1.5190704  ... -1.5190423  -1.5190936
  -1.5191038 ]
 [-5.5731463  -4.8613405  -4.860494   ... -4.8604355  -4.8603334
  -4.860297  ]]"
DR1_DAW0_SX146,"[[ 9.795702    9.798336    9.796418   ...  9.977998   11.185087
   9.783059  ]
 [-0.4647431  -0.46616    -0.46446103 ... -0.53747785 -0.88102883
  -0.45652795]
 [ 0.3635631   0.3642179   0.36390314 ...  0.2765468  -0.23582906
   0.36091265]
 ...
 [-1.8759072  -1.8751754  -1.8758824  ... -1.636977   -0.70288897
  -1.8798223 ]
 [-2.0119429  -2.0112581  -2.0120919  ... -2.032942   -1.2487379
  -2.0167327 ]
 [-3.6576257  -3.6591535  -3.6576934  ... -3.7942762  -4.325791
  -3.6486895 ]]"
DR1_DAW0_SX236,"[[10.618002   10.617178   10.627718   ... 11.79327    10.604734
  10.602773  ]
 [-0.51322246 -0.5132238  -0.51714337 ... -1.5225718  -0.50755435
  -0.5072882 ]
 [ 0.42509586  0.42486584  0.4274466  ... -1.0656512   0.42063603
   0.42073193]
 ...
 [-1.7195146  -1.7197477  -1.712946   ... -0.96223795 -1.7252277
  -1.7267659 ]
 [-1.6029277  -1.6032877  -1.6027529  ...  0.08049908 -1.6035049
  -1.6034167 ]
 [-4.0635047  -4.062775   -4.0675974  ... -5.470524   -4.05748
  -4.0570555 ]]"
DR1_DAW0_SX326,"[[13.542701   13.609682   13.624983   ... 12.789938   12.789644
  12.789292  ]
 [-2.5805106  -2.5856068  -2.5774522  ... -1.3552907  -1.3551546
  -1.3550513 ]
 [-0.34104097 -0.412068   -0.4476261  ...  0.13203594  0.13209751
   0.13224098]
 ...
 [ 0.3094417   0.10271701 -0.13350081 ... -0.2963392  -0.2964709
  -0.29657096]
 [ 0.20758149  0.15407597  0.17088051 ... -0.6646511  -0.6648113
  -0.6649668 ]
 [-5.6466413  -5.599601   -5.5439134  ... -5.041029   -5.0408354
  -5.0406466 ]]"
DR1_DAW0_SX416,"[[ 9.576363    9.577881    9.58045    ...  9.576197    9.571712
   9.5689945 ]
 [-0.6472762  -0.648708   -0.65066284 ... -0.64462805 -0.6406021
  -0.63957083]
 [-0.07470693 -0.0747256  -0.07463269 ... -0.0770987  -0.07631949
  -0.07585086]
 ...
 [-2.5206714  -2.5197392  -2.5184722  ... -2.5118065  -2.518309
  -2.5257616 ]
 [-1.8657496  -1.8656017  -1.8653843  ... -1.8569083  -1.8608534
  -1.8650861 ]
 [-3.7114356  -3.7122984  -3.713719   ... -3.7219222  -3.714416
  -3.7073727 ]]"
DR1_DAW0_SX56,"[[ 8.782378    8.916211   11.159906   ...  8.398739    8.764284
   8.7642765 ]
 [-0.55443394 -0.6271485  -2.7920012  ... -2.2921267  -0.5468788
  -0.5468942 ]
 [-0.17409658 -0.21665865 -0.91673696 ... -1.6898806  -0.17081794
  -0.17086579]
 ...
 [-3.0364323  -2.931747    0.50558823 ... -1.8109689  -3.0471087
  -3.0471497 ]
 [-2.0516675  -2.0657763  -0.6936407  ...  0.60956997 -2.0498407
  -2.049769  ]
 [-4.446574   -4.5542407  -5.671403   ... -6.2015495  -4.43582
  -4.4358683 ]]"
DR1_DML0_SA1,"[[ 8.815673    8.817862    8.83046    ...  8.791811    8.804396
   8.804428  ]
 [-0.6926761  -0.69321597 -0.6967728  ... -1.7856231  -0.68980354
  -0.6898068 ]
 [-0.08848408 -0.08812529 -0.08675667 ... -0.79316485 -0.08902774
  -0.08904872]
 ...
 [-1.98827    -1.9877973  -1.9849966  ... -1.2475696  -1.9924333
  -1.9923921 ]
 [-2.510346   -2.5100167  -2.5074604  ...  0.63078284 -2.512339
  -2.512317  ]
 [-3.6656945  -3.6667967  -3.6737173  ... -4.9740434  -3.6591372
  -3.6591887 ]]"
DR1_DML0_SA2,"[[12.075413   12.069214   11.969162   ... 10.848447   10.848387
  10.848399  ]
 [-2.148488   -2.1682835  -2.054492   ... -1.0944138  -1.0943664
  -1.0943685 ]
 [-1.3468783  -1.2886009  -1.3166726  ... -0.79255944 -0.79254186
  -0.7925398 ]
 ...
 [ 0.10749437 -0.08026242 -0.17711473 ... -1.5276699  -1.5276921
  -1.5276737 ]
 [-0.74767387 -0.6827013  -0.42804644 ... -2.408102   -2.4081392
  -2.4081497 ]
 [-5.2921352  -5.2235847  -5.2785163  ... -4.8436007  -4.843543
  -4.843545  ]]"
DR1_DML0_SI1149,"[[ 9.624052   10.992248   13.400757   ...  9.69569     9.622868
   9.622955  ]
 [ 5.2689896   5.0077715  -2.7705705  ...  8.225195    5.2704935
   5.2701383 ]
 [ 0.21387649 -0.01845007 -0.5733305  ... -1.6666195   0.21405117
   0.21393877]
 ...
 [-0.65746576 -0.43945056 -0.01688862 ... -0.20823452 -0.6568741
  -0.6569617 ]
 [-1.9618068  -2.148618   -2.1180182  ...  0.10799925 -1.9615698
  -1.9616089 ]
 [-3.1968393  -3.439659   -4.8124695  ... -3.9952435  -3.1968951
  -3.1968212 ]]"
DR1_DML0_SI1779,"[[12.657179   12.384802   12.705874   ...  9.972532    9.972577
   9.972536  ]
 [-2.8233209  -3.0485072  -2.9749641  ... -1.4972672  -1.4972668
  -1.4972644 ]
 [-1.6604397  -1.482624   -1.2854223  ... -0.12681225 -0.12681377
  -0.12680623]
 ...
 [ 0.6428595   0.20383164  0.11700287 ... -2.611334   -2.6113043
  -2.6113262 ]
 [-1.6647274  -1.7560805  -1.6550883  ... -2.0816371  -2.0816321
  -2.0816388 ]
 [-5.1551285  -4.8856     -4.95314    ... -3.6645193  -3.6645668
  -3.6645155 ]]"
DR1_DML0_SI2075,"[[12.502016   12.232235   12.166467   ...  9.865232    9.865048
   9.86515   ]
 [-2.0202317  -2.3123994  -2.5293484  ... -1.60794    -1.6072419
  -1.6072171 ]
 [-2.1235282  -2.4139862  -2.274531   ... -0.08534355 -0.08518377
  -0.08506358]
 ...
 [ 0.08470085  0.6015376   0.4673452  ... -2.076716   -2.076682
  -2.076626  ]
 [-1.0215688  -1.1177256  -1.3874022  ... -1.5759029  -1.5759153
  -1.575881  ]
 [-5.827422   -5.8495255  -5.6583066  ... -3.9261975  -3.9258554
  -3.9259055 ]]"
DR1_DML0_SX159,"[[12.949531   12.791736   12.550473   ...  9.737991    9.737971
   9.738024  ]
 [-2.629949   -2.6574342  -2.636684   ... -1.0858824  -1.0858788
  -1.085916  ]
 [-0.05457872 -0.6141025  -1.2109796  ...  1.1075811   1.1075792
   1.1075729 ]
 ...
 [ 0.48965245  0.36356077  0.22635043 ... -2.1714182  -2.1714208
  -2.1714234 ]
 [-2.3779945  -2.4039185  -2.4400475  ... -1.8771472  -1.8771472
  -1.8771567 ]
 [-4.7755847  -4.733958   -4.6073256  ... -3.1961174  -3.1961086
  -3.1961493 ]]"
DR1_DML0_SX249,"[[11.455468   11.424238   11.273379   ... 12.325912   10.762003
  10.761851  ]
 [-1.5502982  -1.7334545  -2.0389857  ... -1.5422336  -0.96494466
  -0.9647429 ]
 [-0.93413067 -1.1648208  -1.3398218  ... -0.39320558 -0.05911331
  -0.05936818]
 ...
 [-1.4124255  -1.1445838  -0.9106865  ... -1.092659   -2.9790154
  -2.9791958 ]
 [-0.92347974 -0.52917504 -0.14776722 ... -0.03458149 -1.7924237
  -1.7924403 ]
 [-5.3331475  -5.3916554  -5.491686   ... -5.5601845  -4.5280066
  -4.527906  ]]"
DR1_DML0_SX339,"[[10.289438   10.286487   10.27182    ... 10.241648   10.241735
  10.241571  ]
 [-1.5077833  -1.5061421  -1.4975829  ... -1.4785553  -1.4786276
  -1.4784857 ]
 [-0.15009275 -0.1490893  -0.14824127 ... -0.14769045 -0.14759666
  -0.14770494]
 ...
 [-2.238204   -2.2450347  -2.2530375  ... -2.2588336  -2.258767
  -2.2588325 ]
 [-2.2037396  -2.2066345  -2.2135725  ... -2.227323   -2.227264
  -2.2273822 ]
 [-3.9274864  -3.9232287  -3.9133325  ... -3.8964126  -3.8964777
  -3.8963673 ]]"
DR1_DML0_SX429,"[[ 9.854878    9.854268    9.853178   ... 11.070777   11.298068
   9.860007  ]
 [-0.3456943  -0.34559828 -0.34524527 ... -0.38443506 -0.44131285
  -0.34489468]
 [ 0.2758292   0.27575374  0.2756641  ... -1.0242684  -1.0349007
   0.27575907]
 ...
 [-2.5247092  -2.5250583  -2.525581   ... -1.0653524  -0.9416263
  -2.5197942 ]
 [-2.5400276  -2.5401683  -2.5403752  ... -1.5625724  -1.5523319
  -2.5362759 ]
 [-3.7590604  -3.7587483  -3.7581842  ... -4.6752152  -4.778701
  -3.7628133 ]]"
DR1_DML0_SX69,"[[11.682436   11.769223   11.996695   ...  9.814036    9.813785
   9.813923  ]
 [-2.7623281  -2.6304345  -2.516149   ... -1.1320096  -1.1314564
  -1.1317679 ]
 [-1.0473692  -1.4957249  -1.2499745  ...  0.51295304  0.5129118
   0.5129561 ]
 ...
 [ 1.7550497   1.7380817   1.324771   ... -3.039091   -3.03928
  -3.0391426 ]
 [ 0.13768761  0.05476198 -0.16011971 ... -0.71930194 -0.7192396
  -0.7194057 ]
 [-6.0385423  -6.088225   -5.795537   ... -4.1796317  -4.1795473
  -4.179489  ]]"
DR1_ECD0_SA1,"[[13.291173   13.239422   13.174162   ... 11.176391   11.176676
  11.176462  ]
 [-2.33658    -2.4481537  -2.4968648  ... -0.1430885  -0.14323887
  -0.14311302]
 [-0.8755174  -0.88011956 -0.7584412  ... -0.72283417 -0.7227988
  -0.72286284]
 ...
 [ 0.46343923  0.3143674  -0.11259976 ... -1.0814114  -1.0813651
  -1.0813763 ]
 [-0.1992752  -0.0772952   0.04985653 ... -2.378968   -2.3788757
  -2.3789403 ]
 [-5.3145766  -5.284793   -5.134989   ... -4.6712904  -4.6714153
  -4.671327  ]]"
DR1_ECD0_SA2,"[[12.028457   12.320307   12.742058   ... 10.455352   10.45536
  10.455363  ]
 [-2.4686656  -2.6123643  -2.5184574  ... -1.2141453  -1.2141494
  -1.2141397 ]
 [-1.3973343  -1.1535435  -0.8936908  ... -0.20103621 -0.20103846
  -0.20103762]
 ...
 [ 0.7073554   0.2406922  -0.12317899 ... -1.8883069  -1.8883095
  -1.8883078 ]
 [-0.3311093  -0.4456662  -0.60179806 ... -2.5081728  -2.508161
  -2.508162  ]
 [-6.5161695  -6.332018   -6.0858965  ... -4.76252    -4.7625275
  -4.762518  ]]"
DR1_ECD0_SI1418,"[[10.996428   10.970501   10.983023   ... 11.921551   11.921474
  11.920368  ]
 [-2.5252447  -2.4539561  -2.3526115  ... -1.1794133  -1.179417
  -1.1785473 ]
 [-1.091867   -1.1505604  -1.2067738  ... -0.10352936 -0.1035738
  -0.10320807]
 ...
 [-1.2450719  -1.3417516  -1.4565666  ... -1.201346   -1.2014036
  -1.2016772 ]
 [-0.5595795  -0.5787988  -0.63393867 ... -1.6919643  -1.6919425
  -1.69249   ]
 [-5.142466   -5.112887   -5.0765715  ... -4.567999   -4.567977
  -4.567108  ]]"
DR1_ECD0_SI2048,"[[13.315122   13.3344     13.425953   ... 10.978565   10.978512
  10.978526  ]
 [-2.4733796  -2.4965162  -2.4357274  ... -0.98030233 -0.9802973
  -0.9803426 ]
 [-1.3141031  -1.2466185  -1.1345303  ... -0.274918   -0.27507055
  -0.27509764]
 ...
 [ 0.40260643  0.22835618  0.21500862 ... -1.4475279  -1.4475578
  -1.4475363 ]
 [-1.2869674  -1.3161976  -1.2498286  ... -0.6625264  -0.6628294
  -0.6628681 ]
 [-5.192086   -5.123542   -5.1187525  ... -4.6265626  -4.626436
  -4.6264534 ]]"
DR1_ECD0_SI788,"[[13.102497   12.958013   12.682867   ... 10.467773   10.468061
  10.468099  ]
 [-2.1303725  -2.374189   -2.4465644  ... -0.56831986 -0.5685627
  -0.56858855]
 [-0.8855644  -1.0356573  -1.3210332  ...  0.26555824  0.26576388
   0.26578662]
 ...
 [-0.30387363 -0.42557424 -0.39647675 ... -1.9269156  -1.9269553
  -1.9269598 ]
 [-0.82446504 -0.70760894 -0.42294    ... -1.9419854  -1.9420756
  -1.9420815 ]
 [-5.4374614  -5.5121155  -5.684222   ... -4.2749805  -4.2749853
  -4.2749944 ]]"
DR1_ECD0_SX158,"[[11.287803   11.122174    9.933682   ... 11.062016   11.060426
  11.058419  ]
 [-2.6848207  -2.682347   -2.5508149  ... -1.2518802  -1.2508459
  -1.2494736 ]
 [-1.3097516  -1.3919562  -1.0253129  ...  0.28573087  0.28563067
   0.28557712]
 ...
 [-0.14843065 -0.23970205 -0.9387719  ... -1.3161445  -1.3163261
  -1.3164722 ]
 [-1.554456   -1.5676239  -1.7161725  ... -2.3949475  -2.3954196
  -2.3959785 ]
 [-4.748465   -4.7397914  -4.2480536  ... -4.1141205  -4.1132407
  -4.112198  ]]"
DR1_ECD0_SX248,"[[13.224731   13.285528   13.26661    ... 10.506668   10.50651
  10.506473  ]
 [-0.865397   -1.02971    -1.2490854  ...  0.1106472   0.11061326
   0.11059943]
 [-0.72950333 -0.7656553  -0.9625884  ... -0.148305   -0.14834554
  -0.14834091]
 ...
 [-0.15503597 -0.24130693 -0.10293722 ... -2.3671253  -2.3671334
  -2.3671255 ]
 [-0.72723925 -0.6880195  -0.6786921  ... -1.6386102  -1.6387061
  -1.6387373 ]
 [-5.4186764  -5.41647    -5.4578934  ... -4.4095516  -4.4094305
  -4.4093857 ]]"
DR1_ECD0_SX338,"[[11.108352   10.9938965  10.23683    ... 11.372419   11.371825
  11.371393  ]
 [-2.7202342  -2.6734147  -2.454935   ... -0.3386494  -0.33860412
  -0.33853382]
 [-1.19922    -1.092216   -0.8721005  ... -0.22178847 -0.22191775
  -0.2220555 ]
 ...
 [ 0.21052217  0.02018747 -0.48296025 ... -0.7528575  -0.7528431
  -0.75284696]
 [-2.5666778  -2.6180985  -2.7216556  ... -2.6703928  -2.6706967
  -2.6708832 ]
 [-4.386849   -4.2669663  -3.936258   ... -4.100015   -4.0997033
  -4.0995092 ]]"
DR1_ECD0_SX428,"[[13.196676   13.298012   13.447773   ...  9.065692    9.065894
   9.065765  ]
 [-2.5271282  -2.5272996  -2.56747    ...  0.04361887  0.04267442
   0.04273432]
 [-0.13289532 -0.16612896 -0.25659743 ...  0.43680233  0.43233234
   0.4323852 ]
 ...
 [-0.49731314 -0.6250184  -0.6486181  ... -2.2254214  -2.2263963
  -2.2264342 ]
 [-1.8315244  -1.896853   -1.8947499  ... -2.247785   -2.2462463
  -2.2463055 ]
 [-5.297243   -5.260835   -5.3032546  ... -3.5207636  -3.5228243
  -3.5226793 ]]"
DR1_ECD0_SX68,"[[12.173347   12.318353   12.481363   ... 10.215702   10.2156925
  10.215753  ]
 [-2.0836706  -2.2331257  -2.2511833  ...  0.09225243  0.09227604
   0.09215641]
 [-0.71856946 -0.75012183 -0.73328996 ... -0.3226208  -0.32265586
  -0.32252222]
 ...
 [ 0.05423853 -0.03572026 -0.14420411 ... -2.3311985  -2.3311858
  -2.331202  ]
 [ 0.92213607  0.82570595  0.7036738  ... -2.6285653  -2.6285794
  -2.6284986 ]
 [-5.89975    -5.905938   -5.8937244  ... -3.3463237  -3.3462968
  -3.3464403 ]]"
DR1_ETB0_SA1,"[[ 9.381108    9.383614    9.369239   ...  9.4921055   9.364303
  10.259404  ]
 [-0.8766792  -0.87752056 -0.8736014  ... -1.723014   -0.8715427
  -1.2642884 ]
 [-0.37142035 -0.3702884  -0.37387183 ... -1.0392888  -0.37625527
  -1.3011696 ]
 ...
 [-1.821355   -1.8207608  -1.8279734  ... -1.4811357  -1.8292347
  -1.076596  ]
 [-2.3774295  -2.3770154  -2.3800683  ...  0.25820372 -2.3806913
  -0.03359852]
 [-4.085188   -4.0859747  -4.0779853  ... -5.3122993  -4.0767384
  -5.1601295 ]]"
DR1_ETB0_SA2,"[[13.108646   13.133619   13.144333   ... 11.5092125  11.509153
  11.50898   ]
 [-2.7919798  -2.7743201  -2.6680117  ... -1.227439   -1.2274213
  -1.2273457 ]
 [-0.9326979  -0.94864076 -0.9920492  ...  0.21032684  0.21027982
   0.21019854]
 ...
 [ 0.6000377   0.45986408  0.4626806  ... -1.6320434  -1.6320915
  -1.6321374 ]
 [-1.0084097  -0.9977051  -0.96330184 ... -2.3439596  -2.3440266
  -2.3441424 ]
 [-5.7390623  -5.704685   -5.702622   ... -4.6997824  -4.6997237
  -4.6996174 ]]"
DR1_ETB0_SI1148,"[[12.380567   10.423559   12.744065   ... 10.4211     10.421562
  10.42219   ]
 [-1.5676565  -0.71383166 -1.9742373  ... -0.7128196  -0.71327794
  -0.71350384]
 [ 0.6465669   0.9215935   0.07423946 ...  0.92257446  0.92151654
   0.9213894 ]
 ...
 [-2.1187558  -2.870562   -0.945858   ... -2.870986   -2.8707113
  -2.8705575 ]
 [-2.1162941  -2.2889416  -0.92626095 ... -2.2888088  -2.28895
  -2.2889738 ]
 [-4.2468853  -3.8333673  -4.710397   ... -3.8323894  -3.832632
  -3.8328733 ]]"
DR1_ETB0_SI1778,"[[12.92986    12.756503   12.745026   ... 10.368608   10.36829
  10.368319  ]
 [-2.2418237  -2.3756545  -2.406205   ... -0.8910598  -0.89084846
  -0.8908789 ]
 [-0.31890056 -0.27437904 -0.3041617  ... -0.01474977 -0.01479194
  -0.01480636]
 ...
 [-0.23319055 -0.89341336 -1.0481026  ... -2.1878724  -2.1879368
  -2.1879365 ]
 [-1.3009738  -1.2599107  -1.2995479  ... -2.3106112  -2.3106983
  -2.3106556 ]
 [-5.0236387  -4.898144   -4.8560886  ... -3.7112544  -3.7108505
  -3.7108836 ]]"
DR1_ETB0_SI518,"[[12.166727   12.367652   12.589441   ...  9.613152    9.612909
   9.612794  ]
 [-2.2505138  -2.3112898  -2.4461837  ... -0.55349386 -0.5533948
  -0.5533522 ]
 [-0.40512374 -0.3230758  -0.5820514  ...  0.757038    0.75707215
   0.757095  ]
 ...
 [ 0.52975297  0.22028232 -0.06208318 ... -1.93587    -1.9359169
  -1.9359286 ]
 [-1.2151059  -1.3154944  -1.129684   ... -1.8507872  -1.8508823
  -1.8509394 ]
 [-4.921688   -4.828335   -5.0058956  ... -3.6590137  -3.658826
  -3.6587377 ]]"
