,start,stop,utterance,duration_s,phone_rate,sample_id
0,2879,4995,how,0.13225,7.561436672967863,DR1_CJF0_SX217
1,4995,11640,permanent,0.4153125,2.4078254326561326,DR1_CJF0_SX217
2,11640,13785,are,0.1340625,7.459207459207459,DR1_CJF0_SX217
3,13785,17545,their,0.235,4.25531914893617,DR1_CJF0_SX217
4,16041,25650,records,0.6005625,1.665105630138412,DR1_CJF0_SX217
0,1960,2616,the,0.041,24.390243902439025,DR1_CJF0_SX307
1,2616,8293,meeting,0.3548125,2.818389994715519,DR1_CJF0_SX307
2,8293,10160,is,0.1166875,8.56989823245849,DR1_CJF0_SX307
3,10960,13707,now,0.1716875,5.824535857298872,DR1_CJF0_SX307
4,13707,20887,adjourned,0.44875,2.2284122562674096,DR1_CJF0_SX307
0,2260,7895,critical,0.3521875,2.839396628216504,DR1_CJF0_SX37
1,7895,15190,equipment,0.4559375,2.1932830705962987,DR1_CJF0_SX37
2,13781,18101,needs,0.27,3.7037037037037033,DR1_CJF0_SX37
3,18101,23628,proper,0.3454375,2.894879681563235,DR1_CJF0_SX37
4,23628,33810,maintenance,0.636375,1.5714005107051658,DR1_CJF0_SX37
0,2240,5540,tim,0.20625,4.848484848484849,DR1_CJF0_SX397
1,5540,8610,takes,0.191875,5.211726384364821,DR1_CJF0_SX397
2,8610,14707,sheila,0.3810625,2.6242414302115793,DR1_CJF0_SX397
3,14707,15791,to,0.06775,14.760147601476014,DR1_CJF0_SX397
4,15791,19735,see,0.2465,4.056795131845842,DR1_CJF0_SX397
5,19735,26402,movies,0.4166875,2.3998800059997,DR1_CJF0_SX397
6,26402,31210,twice,0.3005,3.327787021630616,DR1_CJF0_SX397
7,31210,31791,a,0.0363125,27.538726333907057,DR1_CJF0_SX397
8,31791,37180,week,0.3368125,2.9690109482278713,DR1_CJF0_SX397
0,2230,5353,she,0.1951875,5.123278898495037,DR1_DAW0_SA1
1,5353,9400,had,0.2529375,3.9535458364220415,DR1_DAW0_SA1
2,9400,10920,your,0.095,10.526315789473685,DR1_DAW0_SA1
3,10920,16501,dark,0.3488125,2.866869736606343,DR1_DAW0_SA1
4,16501,22686,suit,0.3865625,2.5869037995149555,DR1_DAW0_SA1
5,22686,24200,in,0.094625,10.568031704095112,DR1_DAW0_SA1
6,24200,30621,greasy,0.4013125,2.491823703472979,DR1_DAW0_SA1
7,30621,37110,wash,0.4055625,2.4657112035752813,DR1_DAW0_SA1
8,37600,42401,water,0.3000625,3.3326390335346803,DR1_DAW0_SA1
9,43821,46745,all,0.18275,5.471956224350206,DR1_DAW0_SA1
10,46745,51160,year,0.2759375,3.62400906002265,DR1_DAW0_SA1
0,2180,5080,don't,0.18125,5.517241379310345,DR1_DAW0_SA2
1,5080,9480,ask,0.275,3.6363636363636362,DR1_DAW0_SA2
2,9480,11080,me,0.1,10.0,DR1_DAW0_SA2
3,11080,12600,to,0.095,10.526315789473685,DR1_DAW0_SA2
4,12600,18422,carry,0.363875,2.7481964960494674,DR1_DAW0_SA2
5,18422,20595,an,0.1358125,7.363092498849516,DR1_DAW0_SA2
6,20595,25817,oily,0.326375,3.063960168517809,DR1_DAW0_SA2
7,25817,31950,rag,0.3833125,2.6088374368172182,DR1_DAW0_SA2
8,31950,35990,like,0.2525,3.9603960396039604,DR1_DAW0_SA2
9,35990,41820,that,0.364375,2.7444253859348198,DR1_DAW0_SA2
0,2210,6560,this,0.271875,3.6781609195402303,DR1_DAW0_SI1271
1,6560,9720,has,0.1975,5.063291139240506,DR1_DAW0_SI1271
2,9720,13080,been,0.21,4.761904761904762,DR1_DAW0_SI1271
3,13080,26010,attributed,0.808125,1.237432327919567,DR1_DAW0_SI1271
4,26010,28360,to,0.146875,6.808510638297872,DR1_DAW0_SI1271
5,28360,35395,helium,0.4396875,2.2743425728500353,DR1_DAW0_SI1271
6,35395,41603,film,0.388,2.5773195876288657,DR1_DAW0_SI1271
7,41603,47222,flow,0.3511875,2.847481758319986,DR1_DAW0_SI1271
8,47222,49040,in,0.113625,8.800880088008801,DR1_DAW0_SI1271
9,49040,49968,the,0.058,17.241379310344826,DR1_DAW0_SI1271
10,49968,56040,vapor,0.3795,2.635046113306983,DR1_DAW0_SI1271
11,56040,64600,pressure,0.535,1.8691588785046729,DR1_DAW0_SI1271
12,64600,75443,thermometer,0.6776875,1.4756063819976022,DR1_DAW0_SI1271
0,2000,10527,receiving,0.5329375,1.876392635158907,DR1_DAW0_SI1406
1,10527,13002,no,0.1546875,6.4646464646464645,DR1_DAW0_SI1406
2,14047,21597,answer,0.471875,2.119205298013245,DR1_DAW0_SI1406
3,21597,24440,they,0.1776875,5.627857896588111,DR1_DAW0_SI1406
4,24440,28745,set,0.2690625,3.7166085946573753,DR1_DAW0_SI1406
5,28745,30600,the,0.1159375,8.625336927223719,DR1_DAW0_SI1406
6,30600,38120,fire,0.47,2.127659574468085,DR1_DAW0_SI1406
0,3841,7394,as,0.2220625,4.503236701379116,DR1_DAW0_SI2036
1,7394,9876,his,0.155125,6.4464141821112,DR1_DAW0_SI2036
2,9876,13885,feet,0.2505625,3.9910202045397853,DR1_DAW0_SI2036
3,13885,22996,slowed,0.5694375,1.7561189770606958,DR1_DAW0_SI2036
4,22996,25566,he,0.160625,6.22568093385214,DR1_DAW0_SI2036
5,25566,30558,felt,0.312,3.2051282051282053,DR1_DAW0_SI2036
6,30558,39646,ashamed,0.568,1.7605633802816902,DR1_DAW0_SI2036
7,39646,40775,of,0.0705625,14.171833480956598,DR1_DAW0_SI2036
8,40775,42077,the,0.081375,12.288786482334869,DR1_DAW0_SI2036
9,42077,49869,panic,0.487,2.053388090349076,DR1_DAW0_SI2036
10,49869,51091,and,0.076375,13.09328968903437,DR1_DAW0_SI2036
11,51091,58963,resolved,0.492,2.032520325203252,DR1_DAW0_SI2036
12,58963,60611,to,0.103,9.708737864077671,DR1_DAW0_SI2036
13,60611,64807,make,0.26225,3.813155386081983,DR1_DAW0_SI2036
14,64807,66179,a,0.08575,11.661807580174926,DR1_DAW0_SI2036
15,66179,75081,stand,0.556375,1.7973489103572233,DR1_DAW0_SI2036
0,2280,11640,cyclical,0.585,1.7094017094017095,DR1_DAW0_SX146
1,11640,23170,programs,0.720625,1.3876843018213356,DR1_DAW0_SX146
2,23600,24935,will,0.0834375,11.985018726591761,DR1_DAW0_SX146
3,24935,30040,never,0.3190625,3.1341821743388834,DR1_DAW0_SX146
4,30040,40201,compile,0.6350625,1.5746481645507333,DR1_DAW0_SX146
0,2750,6360,clear,0.225625,4.43213296398892,DR1_DAW0_SX236
1,6360,22042,pronunciation,0.980125,1.02027802576202,DR1_DAW0_SX236
2,22042,25690,is,0.228,4.385964912280701,DR1_DAW0_SX236
3,25690,39140,appreciated,0.840625,1.1895910780669146,DR1_DAW0_SX236
0,2130,8200,steve,0.379375,2.6359143327841843,DR1_DAW0_SX326
1,8200,16091,collects,0.4931875,2.0276264098339882,DR1_DAW0_SX326
2,16091,20570,rare,0.2799375,3.572225943290913,DR1_DAW0_SX326
3,20570,23770,and,0.2,5.0,DR1_DAW0_SX326
4,22327,28680,novel,0.3970625,2.5184951991185267,DR1_DAW0_SX326
5,28680,39140,coins,0.65375,1.5296367112810707,DR1_DAW0_SX326
0,2360,4219,a,0.1161875,8.60677783754707,DR1_DAW0_SX416
1,4219,10040,huge,0.3638125,2.7486686136402683,DR1_DAW0_SX416
2,10040,15382,power,0.333875,2.9951329090228382,DR1_DAW0_SX416
3,16498,22502,outage,0.37525,2.6648900732844774,DR1_DAW0_SX416
4,22502,28156,rarely,0.353375,2.829854969932791,DR1_DAW0_SX416
5,29451,39360,occurs,0.6193125,1.6146937127863557,DR1_DAW0_SX416
0,2154,13439,academic,0.7053125,1.4178112538768277,DR1_DAW0_SX56
1,13439,24810,aptitude,0.7106875,1.4070882068419663,DR1_DAW0_SX56
2,24810,35620,guarantees,0.675625,1.4801110083256244,DR1_DAW0_SX56
3,35620,36600,your,0.06125,16.3265306122449,DR1_DAW0_SX56
4,36600,46280,diploma,0.605,1.6528925619834711,DR1_DAW0_SX56
0,3000,6182,she,0.198875,5.02828409805154,DR1_DML0_SA1
1,6182,9640,had,0.216125,4.626951995373048,DR1_DML0_SA1
2,9640,11160,your,0.095,10.526315789473685,DR1_DML0_SA1
3,11160,16668,dark,0.34425,2.904865649963689,DR1_DML0_SA1
4,16668,22297,suit,0.3518125,2.842423165748801,DR1_DML0_SA1
5,22297,24388,in,0.1306875,7.6518412242945955,DR1_DML0_SA1
6,24388,29994,greasy,0.350375,2.8540849090260436,DR1_DML0_SA1
7,29994,35174,wash,0.32375,3.088803088803089,DR1_DML0_SA1
8,36040,39810,water,0.235625,4.244031830238727,DR1_DML0_SA1
9,41486,44985,all,0.2186875,4.572735067162046,DR1_DML0_SA1
10,44985,50458,year,0.3420625,2.9234423533710947,DR1_DML0_SA1
0,631,5000,don't,0.2730625,3.6621652552071415,DR1_DML0_SA2
1,5000,7947,ask,0.1841875,5.429250084832033,DR1_DML0_SA2
2,8894,9900,me,0.062875,15.904572564612327,DR1_DML0_SA2
3,9900,11160,to,0.07875,12.698412698412698,DR1_DML0_SA2
4,11160,17211,carry,0.3781875,2.6441910428028423,DR1_DML0_SA2
5,17211,18493,an,0.080125,12.480499219968799,DR1_DML0_SA2
6,18493,23895,oily,0.337625,2.9618659755646055,DR1_DML0_SA2
7,23895,29628,rag,0.3583125,2.7908599337170767,DR1_DML0_SA2
8,29628,33338,like,0.231875,4.3126684636118595,DR1_DML0_SA2
9,33338,38440,that,0.318875,3.1360250882007055,DR1_DML0_SA2
0,2230,3080,the,0.053125,18.823529411764707,DR1_DML0_SI1149
1,3080,11673,response,0.5370625,1.8619806819504248,DR1_DML0_SI1149
2,11673,11947,of,0.017125,58.3941605839416,DR1_DML0_SI1149
3,11947,20760,reaction,0.5508125,1.8154998297968907,DR1_DML0_SI1149
4,20760,21480,is,0.045,22.22222222222222,DR1_DML0_SI1149
5,21480,30161,dominated,0.5425625,1.843105632991591,DR1_DML0_SI1149
6,30161,33420,by,0.2036875,4.90948143602332,DR1_DML0_SI1149
7,33420,33880,a,0.02875,34.78260869565217,DR1_DML0_SI1149
8,33880,41179,concern,0.4561875,2.1920811070009587,DR1_DML0_SI1149
9,41179,43281,for,0.131375,7.611798287345386,DR1_DML0_SI1149
10,43281,46000,what,0.1699375,5.884516366311144,DR1_DML0_SI1149
11,46000,48200,is,0.1375,7.2727272727272725,DR1_DML0_SI1149
12,48200,56760,vanishing,0.535,1.8691588785046729,DR1_DML0_SI1149
0,2138,4344,they,0.137875,7.252946509519492,DR1_DML0_SI1779
1,4344,9640,used,0.331,3.021148036253776,DR1_DML0_SI1779
2,9640,15800,pink,0.385,2.5974025974025974,DR1_DML0_SI1779
3,15800,21198,tan,0.337375,2.9640607632456466,DR1_DML0_SI1779
4,21198,24187,or,0.1868125,5.352960856473738,DR1_DML0_SI1779
5,24187,31364,cream,0.4485625,2.229343736937439,DR1_DML0_SI1779
6,31364,37597,powder,0.3895625,2.566982191561046,DR1_DML0_SI1779
0,2185,4428,now,0.1401875,7.133303611234954,DR1_DML0_SI2075
1,4428,11853,forget,0.4640625,2.154882154882155,DR1_DML0_SI2075
2,11853,14161,all,0.14425,6.932409012131716,DR1_DML0_SI2075
3,14161,17480,this,0.2074375,4.820729135281711,DR1_DML0_SI2075
4,17480,23268,other,0.36175,2.7643400138217,DR1_DML0_SI2075
0,2200,3091,the,0.0556875,17.957351290684624,DR1_DML0_SX159
1,3091,10485,government,0.462125,2.1639166892074653,DR1_DML0_SX159
2,10485,16976,sought,0.4056875,2.4649514712679097,DR1_DML0_SX159
3,16976,28800,authorization,0.739,1.3531799729364005,DR1_DML0_SX159
4,28800,30788,of,0.12425,8.048289738430583,DR1_DML0_SX159
5,30788,34840,his,0.25325,3.948667324777888,DR1_DML0_SX159
6,34840,44900,citizenship,0.62875,1.5904572564612325,DR1_DML0_SX159
0,2360,3676,i,0.08225,12.1580547112462,DR1_DML0_SX249
1,3676,6391,ate,0.1696875,5.893186003683241,DR1_DML0_SX249
2,6391,10443,every,0.25325,3.948667324777888,DR1_DML0_SX249
3,10443,16474,oyster,0.3769375,2.652959708174432,DR1_DML0_SX249
4,16967,19560,on,0.1620625,6.170458927882762,DR1_DML0_SX249
5,18360,24280,nora's,0.37,2.7027027027027026,DR1_DML0_SX249
6,24280,31020,plate,0.42125,2.373887240356083,DR1_DML0_SX249
0,790,4219,did,0.2143125,4.666083406240887,DR1_DML0_SX339
1,4219,9859,shawn,0.3525,2.8368794326241136,DR1_DML0_SX339
2,9859,15540,catch,0.3550625,2.816405562400986,DR1_DML0_SX339
3,15540,19159,that,0.2261875,4.421110804089527,DR1_DML0_SX339
4,19159,22600,big,0.2150625,4.649811101424005,DR1_DML0_SX339
5,22600,28680,goose,0.38,2.6315789473684212,DR1_DML0_SX339
6,30830,35300,without,0.279375,3.579418344519016,DR1_DML0_SX339
7,35300,39820,help,0.2825,3.5398230088495577,DR1_DML0_SX339
0,2378,3550,a,0.07325,13.651877133105803,DR1_DML0_SX429
1,3550,13480,toothpaste,0.620625,1.6112789526686808,DR1_DML0_SX429
2,13480,19120,tube,0.3525,2.8368794326241136,DR1_DML0_SX429
3,20200,22760,should,0.16,6.25,DR1_DML0_SX429
4,22760,24760,be,0.125,8.0,DR1_DML0_SX429
5,24760,32083,squeezed,0.4576875,2.184896900177523,DR1_DML0_SX429
6,32083,35258,from,0.1984375,5.039370078740157,DR1_DML0_SX429
7,35258,35880,the,0.038875,25.723472668810288,DR1_DML0_SX429
8,35880,42920,bottom,0.44,2.272727272727273,DR1_DML0_SX429
0,2280,4900,eat,0.16375,6.106870229007633,DR1_DML0_SX69
1,4900,7720,your,0.17625,5.673758865248227,DR1_DML0_SX69
2,6308,13994,raisins,0.480375,2.0817069997397866,DR1_DML0_SX69
3,13994,23000,outdoors,0.562875,1.7765933821896513,DR1_DML0_SX69
4,23000,24875,on,0.1171875,8.533333333333333,DR1_DML0_SX69
5,24875,26120,the,0.0778125,12.851405622489958,DR1_DML0_SX69
6,26120,31707,porch,0.3491875,2.863790943261142,DR1_DML0_SX69
7,31707,39000,steps,0.4558125,2.193884546825723,DR1_DML0_SX69
0,2240,6182,she,0.246375,4.058853373921867,DR1_ECD0_SA1
1,6182,12027,had,0.3653125,2.737382378100941,DR1_ECD0_SA1
2,12027,17560,your,0.3458125,2.89174046629315,DR1_ECD0_SA1
3,23780,28880,dark,0.31875,3.1372549019607847,DR1_ECD0_SA1
4,28880,34880,suit,0.375,2.6666666666666665,DR1_ECD0_SA1
5,34880,37244,in,0.14775,6.768189509306261,DR1_ECD0_SA1
6,37244,43888,greasy,0.41525,2.408187838651415,DR1_ECD0_SA1
7,43888,49430,wash,0.346375,2.88704438830747,DR1_ECD0_SA1
8,50240,54752,water,0.282,3.546099290780142,DR1_ECD0_SA1
9,56214,59345,all,0.1956875,5.110188438198659,DR1_ECD0_SA1
10,59345,65319,year,0.373375,2.678272514228323,DR1_ECD0_SA1
0,2370,8000,don't,0.351875,2.841918294849023,DR1_ECD0_SA2
1,8000,13400,ask,0.3375,2.962962962962963,DR1_ECD0_SA2
2,13400,15400,me,0.125,8.0,DR1_ECD0_SA2
3,15400,17000,to,0.1,10.0,DR1_ECD0_SA2
4,17000,23268,carry,0.39175,2.5526483726866624,DR1_ECD0_SA2
5,23268,24731,an,0.0914375,10.936431989063568,DR1_ECD0_SA2
6,24731,30287,oily,0.34725,2.8797696184305255,DR1_ECD0_SA2
7,30287,35510,rag,0.3264375,3.0633735401110473,DR1_ECD0_SA2
8,35510,38880,like,0.210625,4.747774480712166,DR1_ECD0_SA2
9,38880,46520,that,0.4775,2.094240837696335,DR1_ECD0_SA2
0,2260,9680,personal,0.46375,2.1563342318059298,DR1_ECD0_SI1418
1,9680,28657,predispositions,1.1860625,0.8431258892343363,DR1_ECD0_SI1418
2,28657,33400,tend,0.2964375,3.373392367699768,DR1_ECD0_SI1418
3,33400,34864,to,0.0915,10.92896174863388,DR1_ECD0_SI1418
4,34864,41730,blunt,0.429125,2.3303233323623656,DR1_ECD0_SI1418
5,41730,42691,the,0.0600625,16.64932362122789,DR1_ECD0_SI1418
6,44040,48600,ear,0.285,3.5087719298245617,DR1_ECD0_SI1418
7,52920,55520,and,0.1625,6.153846153846153,DR1_ECD0_SI1418
8,55520,57680,in,0.135,7.4074074074074066,DR1_ECD0_SI1418
9,57680,64052,turn,0.39825,2.5109855618330195,DR1_ECD0_SI1418
10,64052,64924,the,0.0545,18.34862385321101,DR1_ECD0_SI1418
11,64924,71249,voice,0.3953125,2.5296442687747036,DR1_ECD0_SI1418
12,71249,74130,as,0.1800625,5.553627212773343,DR1_ECD0_SI1418
13,74880,78840,well,0.2475,4.040404040404041,DR1_ECD0_SI1418
0,2410,3687,the,0.0798125,12.529365700861394,DR1_ECD0_SI2048
1,3687,10569,kid,0.430125,2.3249055507120024,DR1_ECD0_SI2048
2,10569,16860,has,0.3931875,2.543315848036878,DR1_ECD0_SI2048
3,16860,20135,no,0.2046875,4.885496183206107,DR1_ECD0_SI2048
4,20135,28790,manners,0.5409375,1.8486424032351243,DR1_ECD0_SI2048
5,28790,37900,boys,0.569375,1.756311745334797,DR1_ECD0_SI2048
0,9535,11247,we,0.107,9.345794392523365,DR1_ECD0_SI788
1,11247,12235,have,0.06175,16.194331983805668,DR1_ECD0_SI788
2,12235,19338,become,0.4439375,2.2525693368999016,DR1_ECD0_SI788
3,19338,27273,amateur,0.4959375,2.0163831127914307,DR1_ECD0_SI788
4,28633,36537,insurance,0.494,2.0242914979757085,DR1_ECD0_SI788
5,36537,46440,experts,0.6189375,1.6156720185802282,DR1_ECD0_SI788
6,52120,54236,and,0.13225,7.561436672967863,DR1_ECD0_SI788
7,54236,60280,fine,0.37775,2.6472534745201854,DR1_ECD0_SI788
8,60280,67590,feathered,0.456875,2.188782489740082,DR1_ECD0_SI788
9,67590,72890,yard,0.33125,3.018867924528302,DR1_ECD0_SI788
10,72890,80350,birds,0.46625,2.1447721179624666,DR1_ECD0_SI788
0,2250,3142,the,0.05575,17.937219730941703,DR1_ECD0_SX158
1,3142,12122,drunkard,0.56125,1.7817371937639197,DR1_ECD0_SX158
2,12122,15168,is,0.190375,5.252790544977019,DR1_ECD0_SX158
3,15168,16049,a,0.0550625,18.161180476730987,DR1_ECD0_SX158
4,16049,23391,social,0.458875,2.179242713157178,DR1_ECD0_SX158
5,23391,36760,outcast,0.8355625,1.1967985638417233,DR1_ECD0_SX158
0,2640,8120,reading,0.3425,2.9197080291970803,DR1_ECD0_SX248
1,8120,11272,in,0.197,5.0761421319796955,DR1_ECD0_SX248
2,11272,16041,poor,0.2980625,3.3550010484378276,DR1_ECD0_SX248
3,16041,24520,light,0.5299375,1.8870149781813894,DR1_ECD0_SX248
4,24520,29530,gives,0.313125,3.193612774451098,DR1_ECD0_SX248
5,27154,31456,you,0.268875,3.7192003719200377,DR1_ECD0_SX248
6,33021,43409,eyestrain,0.64925,1.5402387370042356,DR1_ECD0_SX248
0,2190,3270,the,0.0675,14.814814814814813,DR1_ECD0_SX338
1,3270,10800,dark,0.470625,2.1248339973439574,DR1_ECD0_SX338
2,10800,16584,murky,0.3615,2.7662517289073305,DR1_ECD0_SX338
3,16584,25065,lagoon,0.5300625,1.886569979955194,DR1_ECD0_SX338
4,25065,30140,wound,0.3171875,3.152709359605911,DR1_ECD0_SX338
5,30140,36011,around,0.3669375,2.7252597513200474,DR1_ECD0_SX338
6,36011,38795,for,0.174,5.74712643678161,DR1_ECD0_SX338
7,38795,49327,miles,0.65825,1.519179642992784,DR1_ECD0_SX338
0,2167,3800,a,0.1020625,9.797917942437232,DR1_ECD0_SX428
1,3800,12226,crab,0.526625,1.8988844054118206,DR1_ECD0_SX428
2,12226,21952,challenged,0.607875,1.645075056549455,DR1_ECD0_SX428
3,21952,25148,me,0.19975,5.006257822277847,DR1_ECD0_SX428
4,28810,30400,but,0.099375,10.062893081761006,DR1_ECD0_SX428
5,30400,32400,a,0.125,8.0,DR1_ECD0_SX428
6,32400,37920,quick,0.345,2.8985507246376816,DR1_ECD0_SX428
7,37920,44613,stab,0.4183125,2.390557298670253,DR1_ECD0_SX428
8,44613,53821,vanquished,0.5755,1.737619461337967,DR1_ECD0_SX428
9,53821,56788,him,0.1854375,5.392652510953825,DR1_ECD0_SX428
0,2120,11560,upgrade,0.59,1.6949152542372883,DR1_ECD0_SX68
1,10720,16280,your,0.3475,2.877697841726619,DR1_ECD0_SX68
2,16280,23240,status,0.435,2.2988505747126435,DR1_ECD0_SX68
3,23240,25650,to,0.150625,6.639004149377593,DR1_ECD0_SX68
4,25650,35005,reflect,0.5846875,1.7103153393907,DR1_ECD0_SX68
5,33670,37069,your,0.2124375,4.707266843189173,DR1_ECD0_SX68
6,37840,44280,wealth,0.4025,2.484472049689441,DR1_ECD0_SX68
0,2280,5932,she,0.22825,4.381161007667032,DR1_ETB0_SA1
1,5932,9900,had,0.248,4.032258064516129,DR1_ETB0_SA1
2,9900,11720,your,0.11375,8.79120879120879,DR1_ETB0_SA1
3,11720,16960,dark,0.3275,3.0534351145038165,DR1_ETB0_SA1
4,16960,22892,suit,0.37075,2.6972353337828725,DR1_ETB0_SA1
5,22892,24355,in,0.0914375,10.936431989063568,DR1_ETB0_SA1
6,24355,30360,greasy,0.3753125,2.6644462947543714,DR1_ETB0_SA1
7,30360,36302,wash,0.371375,2.6926960619320095,DR1_ETB0_SA1
8,37138,41315,water,0.2610625,3.830500359109409,DR1_ETB0_SA1
9,41892,44231,all,0.1461875,6.840530141085934,DR1_ETB0_SA1
10,44231,49203,year,0.31075,3.218020917135961,DR1_ETB0_SA1
0,2088,5080,don't,0.187,5.347593582887701,DR1_ETB0_SA2
1,5080,9483,ask,0.2751875,3.633885986827164,DR1_ETB0_SA2
2,9960,11880,me,0.12,8.333333333333334,DR1_ETB0_SA2
3,11880,14600,to,0.17,5.88235294117647,DR1_ETB0_SA2
4,14600,21556,carry,0.43475,2.3001725129384702,DR1_ETB0_SA2
5,21556,22892,an,0.0835,11.976047904191615,DR1_ETB0_SA2
6,22892,28156,oily,0.329,3.03951367781155,DR1_ETB0_SA2
7,28156,33712,rag,0.34725,2.8797696184305255,DR1_ETB0_SA2
8,33712,36678,like,0.185375,5.394470667565745,DR1_ETB0_SA2
9,36678,42340,that,0.353875,2.8258565877781705,DR1_ETB0_SA2
0,2255,8920,change,0.4165625,2.4006001500375094,DR1_ETB0_SI1148
1,8920,16167,involves,0.4529375,2.2078101283289637,DR1_ETB0_SI1148
2,16167,17963,the,0.11225,8.908685968819599,DR1_ETB0_SI1148
3,17963,29493,displacement,0.720625,1.3876843018213356,DR1_ETB0_SI1148
4,29493,33560,of,0.2541875,3.934103761986722,DR1_ETB0_SI1148
